Date,SolarEnergy
2021-09-28,10.9
2021-09-29,16.5
2021-09-30,18.3
2021-10-01,20.5
2021-10-02,18.8
2021-10-03,20.1
2021-10-04,20.4
2021-10-05,19.4
2021-10-06,17.0
2021-10-07,16.2
2021-10-08,19.2
2021-10-09,18.3
2021-10-10,18.5
2021-10-11,21.6
2021-10-12,21.1
2021-10-13,18.9
2021-10-14,19.3
2021-10-15,18.9
2021-10-16,3.0
2021-10-17,16.4
2021-10-18,20.5
2021-10-19,16.9
2021-10-20,20.0
2021-10-21,20.3
2021-10-22,21.1
2021-10-23,21.3
2021-10-24,15.5
2021-10-25,19.0
2021-10-26,20.0
2021-10-27,21.5
2021-10-28,18.0
2021-10-29,14.1
2021-10-30,13.8
2021-10-31,16.2
2021-11-01,12.2
2021-11-02,9.8
2021-11-03,7.8
2021-11-04,15.7
2021-11-05,15.3
2021-11-06,16.2
2021-11-07,15.7
2021-11-08,18.3
2021-11-09,17.9
2021-11-10,18.2
2021-11-11,5.2
2021-11-12,3.8
2021-11-13,9.7
2021-11-14,11.3
2021-11-15,12.6
2021-11-16,8.1
2021-11-17,12.4
2021-11-18,6.7
2021-11-19,6.5
2021-11-20,10.4
2021-11-21,10.1
2021-11-22,14.0
2021-11-23,15.4
2021-11-24,15.0
2021-11-25,15.3
2021-11-26,18.7
2021-11-27,16.0
2021-11-28,8.9
2021-11-29,5.1
2021-11-30,14.1
2021-12-01,13.3
2021-12-02,17.3
2021-12-03,17.7
2021-12-04,18.6
2021-12-05,18.3
2021-12-06,18.3
2021-12-07,16.8
2021-12-08,14.3
2021-12-09,13.0
2021-12-10,13.8
2021-12-11,16.0
2021-12-12,14.6
2021-12-13,13.2
2021-12-14,12.7
2021-12-15,15.8
2021-12-16,18.6
2021-12-17,18.6
